date,symbol
20-07-2021,STEELCITY
01-08-2023,STEL
20-08-2024,STERTOOLS
14-07-2020,SUDARCOLOR
17-01-2023,SULA
09-01-2024,SULA
13-08-2025,SUNFLAG
14-09-2021,SURYODAY
15-09-2020,SYNGENE
21-11-2023,TALBROAUTO
27-08-2024,TANLA
07-10-2025,TARACHAND
01-10-2021,TATAINVEST
25-06-2024,TBOTEK
03-11-2025,TDPOWERSYS
21-11-2019,TEJASNET
08-02-2021,TEJASNET
02-03-2026,TEJASNET
16-07-2021,TERASOFT
09-02-2021,TEXINFRA
16-08-2023,TEXMOPIPES
25-02-2020,THOMASCOOK
25-07-2024,THYROCARE
25-04-2025,THYROCARE
05-02-2019,TITAN
15-12-2021,TOTAL
28-05-2021,TRANSWORLD
13-02-2024,TRF
23-12-2021,TRIGYN
07-08-2024,TRITURBINE
13-11-2018,TRIVENI
29-06-2022,TRU
02-09-2022,TTML
02-08-2023,UFO
07-11-2025,UFO
11-03-2022,UGARSUGAR
31-05-2024,UGROCAP
14-06-2023,UMAEXPORTS
15-06-2023,UMAEXPORTS
02-02-2024,UMAEXPORTS
29-05-2025,UNIMECH
14-11-2025,UNIVCABLES
07-06-2024,UNOMINDA
08-06-2021,UTTAMSUGAR
08-08-2018,VAKRANGEE
17-05-2023,VESUVIUS
30-05-2025,VETO
28-10-2025,VIKRAN
15-11-2023,VINEETLAB
12-04-2023,VINYLINDIA
12-05-2020,VIPIND
16-07-2021,VIYASH
19-08-2024,VIYASH
01-07-2021,VLSFINANCE
30-01-2024,VLSFINANCE
15-07-2025,VPRPL
11-09-2024,VRAJ
03-11-2021,VRLLOG
15-02-2021,WABAG
15-11-2022,WABAG
13-09-2019,WALCHANNAG
27-06-2024,WEIZMANIND
24-05-2019,WELENT
04-02-2026,WELSPUNLIV
20-06-2024,WINDMACHIN
02-07-2024,WOCKPHARMA
07-11-2023,XCHANGING
12-08-2025,YATRA
13-08-2025,YATRA
15-09-2021,ZEEL
15-05-2023,ZENSARTECH
10-06-2021,ZENTEC
09-08-2023,ZENTEC
03-08-2021,ZOTA
04-08-2021,ZOTA
08-04-2020,ZYDUSLIFE
09-04-2020,ZYDUSLIFE
