date,symbol
2025-03-19 09:15 am,  WAAREEENER
2025-03-20 09:15 am,  AMBER
2025-03-20 09:15 am,  ANGELONE
2025-03-20 09:15 am,  BANKBARODA
2025-03-20 09:15 am,  BDL
2025-03-20 09:15 am,  BEL
2025-03-20 09:15 am,  BHARATFORG
2025-03-20 09:15 am,  BPCL
2025-03-20 09:15 am,  CANBK
2025-03-20 09:15 am,  COFORGE
2025-03-20 09:15 am,  ETERNAL
2025-03-20 09:15 am,  EXIDEIND
2025-03-20 09:15 am,  FEDERALBNK
2025-03-20 09:15 am,  FORTIS
2025-03-20 09:15 am,  GODREJCP
2025-03-20 09:15 am,  HDFCBANK
2025-03-20 09:15 am,  HINDALCO
2025-03-20 09:15 am,  HINDPETRO
2025-03-20 09:15 am,  INDIANB
2025-03-20 09:15 am,  INDIGO
2025-03-20 09:15 am,  LICI
2025-03-20 09:15 am,  LTF
2025-03-20 09:15 am,  MANAPPURAM
2025-03-20 09:15 am,  MAXHEALTH
2025-03-20 09:15 am,  MUTHOOTFIN
2025-03-20 09:15 am,  NBCC
2025-03-20 09:15 am,  OIL
2025-03-20 09:15 am,  PFC
2025-03-20 09:15 am,  PNB
2025-03-20 09:15 am,  POLICYBZR
2025-03-20 09:15 am,  PPLPHARMA
2025-03-20 09:15 am,  PREMIERENE
2025-03-20 09:15 am,  PRESTIGE
2025-03-20 09:15 am,  RBLBANK
2025-03-20 09:15 am,  RELIANCE
2025-03-20 09:15 am,  RVNL
2025-03-20 09:15 am,  SAMMAANCAP
2025-03-20 09:15 am,  SBIN
2025-03-20 09:15 am,  TITAN
2025-03-20 09:15 am,  VBL
2025-03-20 09:15 am,  WAAREEENER
2025-03-21 09:15 am,  ADANIGREEN
2025-03-21 09:15 am,  BHEL
2025-03-21 09:15 am,  DABUR
2025-03-21 09:15 am,  DLF
2025-03-21 09:15 am,  FORTIS
2025-03-21 09:15 am,  GAIL
2025-03-21 09:15 am,  HAL
2025-03-21 09:15 am,  IEX
2025-03-21 09:15 am,  INDHOTEL
2025-03-21 09:15 am,  KOTAKBANK
2025-03-21 09:15 am,  LAURUSLABS
2025-03-21 09:15 am,  LICI
2025-03-21 09:15 am,  LTF
2025-03-21 09:15 am,  MCX
2025-03-21 09:15 am,  MOTHERSON
2025-03-21 09:15 am,  NESTLEIND
2025-03-21 09:15 am,  NTPC
2025-03-21 09:15 am,  NUVAMA
2025-03-21 09:15 am,  ONGC
2025-03-21 09:15 am,  PGEL
2025-03-21 09:15 am,  PIDILITIND
2025-03-21 09:15 am,  SBICARD
2025-03-21 09:15 am,  SUNPHARMA
2025-03-21 09:15 am,  TVSMOTOR
2025-03-21 09:15 am,  UPL
2025-03-24 09:15 am,  ANGELONE
2025-03-24 09:15 am,  ASHOKLEY
2025-03-24 09:15 am,  AUBANK
2025-03-24 09:15 am,  AXISBANK
2025-03-24 09:15 am,  BANDHANBNK
2025-03-24 09:15 am,  BANKBARODA
2025-03-24 09:15 am,  BANKINDIA
2025-03-24 09:15 am,  BHEL
2025-03-24 09:15 am,  BIOCON
2025-03-24 09:15 am,  BSE
2025-03-24 09:15 am,  CANBK
2025-03-24 09:15 am,  CDSL
2025-03-24 09:15 am,  CONCOR
2025-03-24 09:15 am,  DABUR
2025-03-24 09:15 am,  FEDERALBNK
2025-03-24 09:15 am,  GMRAIRPORT
2025-03-24 09:15 am,  HDFCBANK
2025-03-24 09:15 am,  HDFCLIFE
2025-03-24 09:15 am,  ICICIPRULI
2025-03-24 09:15 am,  IDFCFIRSTB
2025-03-24 09:15 am,  IEX
2025-03-24 09:15 am,  INDHOTEL
2025-03-24 09:15 am,  KAYNES
